Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Amount,Interest_Rate,Loan_Term_Months,Application_Date,Approval_Date,Loan_Status,Default_Status
L000169,C03828,B029,Business,111800,13.19,60,2025-06-26,2025-07-11,Approved,Current
L000170,C03922,B001,Business,203200,12.33,60,2023-07-27,2023-08-08,Approved,Current
L000171,C03267,B001,Business,0,12.74,48,2023-01-14,2023-01-18,Rejected,Current
L000172,C02694,B011,Auto,0,11.66,24,2023-09-01,2023-09-11,Rejected,Current
L000173,C02945,B008,Personal,24900,12.11,60,2023-04-18,2023-05-06,Approved,Current
L000174,C03498,B001,Auto,41100,12.58,36,2023-05-05,2023-05-24,Approved,Current
L000175,C04072,B009,Home,350900,12.39,12,2024-02-16,2024-03-07,Approved,Default
L000176,C04957,B018,Personal,18300,11.06,36,2025-08-30,2025-09-04,Approved,Current
L000177,C01975,B028,Home,0,16.27,48,2023-08-25,2023-08-27,Rejected,Current
L000178,C00867,B008,Auto,15100,9.71,84,2025-01-29,2025-02-05,Approved,Current
L000179,C01054,B018,Personal,12300,10.53,48,2024-10-16,2024-10-22,Approved,Current
L000180,C02535,B008,Auto,62200,14.55,24,2023-07-28,2023-08-13,Approved,Current
L000181,C00028,B029,Auto,35700,9.69,72,2025-11-12,2025-11-27,Approved,Current
L000182,C03218,B025,Personal,17000,12.57,12,2023-01-10,2023-01-19,Approved,Current
L000183,C02336,B008,Home,0,15.06,24,2025-02-06,2025-02-13,Rejected,Current
L000184,C04677,B013,Education,0,11.19,48,2025-08-16,2025-08-26,Rejected,Current
L000185,C02998,B016,Business,63400,11.76,24,2025-02-04,2025-02-06,Approved,Current
L000186,C02158,B016,Home,0,12.95,48,2023-10-17,2023-10-20,Rejected,Current
L000187,C02692,B022,Home,0,15.29,24,2023-03-21,2023-04-09,Rejected,Current
L000188,C03343,B007,Personal,23200,12.21,60,2024-02-10,2024-02-13,Approved,Current
L000189,C01556,B030,Personal,21700,10.96,24,2024-02-23,2024-03-02,Approved,Current
L000190,C00276,B030,Personal,33900,11.32,60,2023-01-23,2023-01-28,Approved,Current
L000191,C02737,B004,Education,34500,10.85,60,2024-12-09,2024-12-29,Approved,Current
L000192,C03683,B004,Education,24500,6.73,72,2023-09-04,2023-09-16,Approved,Current
L000193,C01348,B027,Business,86700,10.78,12,2025-02-03,2025-02-14,Approved,Current
L000194,C03090,B019,Home,0,13.33,48,2024-04-30,2024-05-04,Rejected,Current
L000195,C02173,B026,Personal,0,12.3,60,2025-11-08,2025-11-12,Rejected,Current
L000196,C03392,B025,Auto,0,13.54,72,2025-02-25,2025-02-26,Rejected,Current
L000197,C00153,B014,Auto,0,14.58,48,2025-05-28,2025-06-04,Rejected,Current
L000198,C01605,B021,Home,0,14.43,84,2025-09-23,2025-10-13,Rejected,Current
L000199,C02068,B015,Auto,0,12.49,24,2024-08-21,2024-08-23,Rejected,Current
L000200,C01827,B008,Auto,13200,13.23,48,2024-01-31,2024-02-01,Approved,Current
L000201,C00247,B003,Business,0,13.33,36,2025-11-02,2025-11-21,Rejected,Current
L000202,C01371,B012,Home,124200,12.38,24,2023-12-08,2023-12-25,Approved,Current
L000203,C03548,B004,Business,53800,12.8,36,2024-12-07,2024-12-18,Approved,Current
L000204,C01692,B019,Personal,0,12.34,60,2024-08-10,2024-08-15,Rejected,Current
L000205,C02151,B012,Auto,74100,12.75,48,2025-11-12,2025-11-18,Approved,Current
L000206,C02645,B009,Personal,0,16.4,24,2025-10-17,2025-10-23,Rejected,Current
L000207,C03391,B001,Personal,0,15.18,12,2025-04-05,2025-04-22,Rejected,Current
L000208,C02399,B010,Personal,0,12.83,72,2023-07-14,2023-08-03,Rejected,Current
L000209,C02282,B025,Personal,0,7.92,36,2024-12-11,2024-12-21,Rejected,Current
L000210,C01671,B011,Education,22700,11.58,24,2025-10-09,2025-10-19,Approved,Current
L000211,C00037,B011,Home,0,16.62,24,2024-05-24,2024-06-02,Rejected,Current
L000212,C03417,B008,Education,48700,11.67,36,2025-04-15,2025-05-03,Approved,Current
L000213,C01628,B017,Personal,28700,14.22,36,2025-09-20,2025-10-03,Approved,Current
L000214,C02340,B011,Personal,0,13.08,36,2024-12-27,2025-01-04,Rejected,Current
L000215,C01372,B026,Auto,16700,9.77,36,2025-10-28,2025-11-08,Approved,Current
L000216,C00677,B010,Home,0,15.92,48,2023-08-04,2023-08-11,Rejected,Current
L000217,C00253,B020,Auto,22300,11.99,60,2023-10-11,2023-10-18,Approved,Current
L000218,C02865,B010,Home,151100,11.9,12,2024-03-14,2024-03-17,Approved,Current
L000219,C01617,B013,Business,81200,10.24,24,2023-11-19,2023-12-05,Approved,Current
L000220,C02017,B017,Home,180300,10.4,60,2025-01-26,2025-02-08,Approved,Current
L000221,C02232,B015,Auto,83000,14.88,24,2024-12-15,2025-01-02,Approved,Current
L000222,C00761,B014,Home,153500,12.55,60,2024-02-17,2024-03-06,Approved,Current
L000223,C03287,B011,Auto,31200,11.64,48,2023-08-05,2023-08-17,Approved,Current
L000224,C00393,B011,Auto,0,11.37,72,2025-07-21,2025-08-03,Rejected,Current
L000225,C03092,B018,Home,630000,11.89,12,2024-11-07,2024-11-10,Approved,Current
L000226,C03543,B016,Personal,0,16.01,60,2025-05-31,2025-06-03,Rejected,Current
L000227,C00431,B010,Auto,21700,13.65,48,2025-05-02,2025-05-04,Approved,Current
L000228,C03731,B002,Education,0,14.96,48,2025-11-18,2025-11-25,Rejected,Current
L000229,C00997,B027,Personal,20600,16.28,24,2024-05-15,2024-05-17,Approved,Current
L000230,C01092,B021,Business,234500,11.94,36,2025-12-08,2025-12-14,Approved,Current
L000231,C01101,B019,Home,274900,12.48,60,2025-10-22,2025-11-04,Approved,Default
L000232,C00102,B008,Home,0,12.28,24,2024-12-10,2024-12-21,Rejected,Current
L000233,C02700,B018,Education,0,11.89,48,2024-08-23,2024-08-28,Rejected,Current
L000234,C00893,B013,Auto,60600,11.45,36,2023-03-11,2023-03-18,Approved,Current
L000235,C02261,B026,Business,66100,12.25,48,2024-12-05,2024-12-16,Approved,Current
L000236,C01789,B021,Home,314200,12.17,36,2023-02-15,2023-02-22,Approved,Current
L000237,C02181,B022,Personal,15900,9.53,36,2025-01-07,2025-01-15,Approved,Current
L000238,C03097,B014,Auto,0,13.71,60,2025-07-05,2025-07-09,Rejected,Current
L000239,C04568,B010,Education,30300,12.24,12,2024-05-06,2024-05-16,Approved,Current
L000240,C03685,B005,Business,77000,10.81,72,2024-05-11,2024-05-31,Approved,Current
L000241,C01781,B001,Personal,14200,11.34,36,2025-11-16,2025-12-01,Approved,Current
L000242,C03615,B029,Home,318000,11.32,48,2025-05-17,2025-06-01,Approved,Current
L000243,C04014,B015,Home,0,10.57,36,2023-08-12,2023-08-31,Rejected,Current
L000244,C01280,B023,Auto,17800,12.2,36,2025-03-23,2025-04-02,Approved,Current
L000245,C04009,B022,Personal,26100,12.21,48,2024-12-21,2024-12-23,Approved,Current
L000246,C03287,B026,Personal,17300,12.99,60,2024-10-15,2024-10-31,Approved,Current
L000247,C02682,B004,Business,0,11.02,72,2024-06-12,2024-07-02,Rejected,Current
L000248,C04518,B026,Auto,39000,14.03,72,2025-07-13,2025-07-18,Approved,Current
L000249,C02629,B023,Business,45600,14.51,36,2024-05-10,2024-05-27,Approved,Current
L000250,C00539,B028,Education,29000,12.93,24,2025-01-21,2025-01-24,Approved,Current
L000251,C01781,B015,Home,248200,9.23,72,2025-11-27,2025-12-05,Approved,Current
L000252,C03527,B011,Business,108100,10.34,12,2023-02-27,2023-03-10,Approved,Current
L000253,C02349,B029,Auto,24700,12.57,72,2024-06-12,2024-06-17,Approved,Current
L000254,C01961,B013,Education,0,11.18,12,2024-09-23,2024-10-10,Rejected,Current
L000255,C03092,B016,Personal,0,10.98,84,2024-06-18,2024-06-22,Rejected,Current
L000256,C03563,B010,Personal,8700,11.57,12,2024-04-26,2024-05-04,Approved,Current
L000257,C04902,B023,Auto,0,13.31,12,2024-12-22,2024-12-24,Rejected,Current
L000258,C02305,B011,Education,0,12.83,48,2023-08-01,2023-08-17,Rejected,Current
L000259,C02501,B014,Business,58800,11.64,60,2023-05-28,2023-06-06,Approved,Current
L000260,C02486,B010,Auto,43900,15.34,36,2024-04-04,2024-04-21,Approved,Current
L000261,C02446,B025,Home,133400,12.46,60,2023-09-17,2023-09-27,Approved,Current
L000262,C00649,B001,Auto,15500,9.91,60,2023-03-14,2023-03-27,Approved,Current
L000263,C02270,B022,Business,0,7.26,60,2023-11-27,2023-12-14,Rejected,Current
L000264,C03816,B028,Business,300600,13.26,72,2023-02-18,2023-03-02,Approved,Current
L000265,C01552,B006,Auto,0,11.87,24,2025-03-04,2025-03-13,Rejected,Current
L000266,C04722,B029,Personal,0,11.75,36,2024-05-19,2024-06-03,Rejected,Current
L000267,C04872,B028,Auto,35100,13.21,48,2023-02-01,2023-02-11,Approved,Current
L000268,C01303,B006,Home,85400,14.03,60,2024-06-23,2024-07-12,Approved,Current
L000269,C02633,B014,Education,62100,16.19,24,2025-03-29,2025-04-15,Approved,Current
L000270,C02533,B028,Auto,0,14.09,24,2024-11-10,2024-11-17,Rejected,Current
L000271,C01269,B024,Auto,15600,6.06,72,2023-02-06,2023-02-20,Approved,Current
L000272,C01774,B013,Education,21100,13.74,12,2025-01-15,2025-01-28,Approved,Current
L000273,C03090,B009,Personal,16100,11.31,36,2025-10-03,2025-10-05,Approved,Current
L000274,C03628,B020,Personal,27200,12.47,36,2023-02-26,2023-03-14,Approved,Current
L000275,C01167,B029,Auto,22000,14.45,60,2023-12-02,2023-12-19,Approved,Current
L000276,C02549,B006,Home,750000,12.64,72,2024-05-10,2024-05-16,Approved,Current
L000277,C01551,B001,Home,110500,12.7,36,2024-08-06,2024-08-07,Approved,Current
L000278,C02141,B029,Business,133000,9.94,48,2023-07-14,2023-07-20,Approved,Current
L000279,C03521,B005,Auto,0,15.59,60,2023-01-03,2023-01-04,Rejected,Current
L000280,C03655,B018,Personal,16800,9.6,48,2023-07-21,2023-07-31,Approved,Current
L000281,C00621,B025,Home,0,10.32,60,2023-07-26,2023-08-15,Rejected,Current
L000282,C02524,B012,Personal,9700,10.99,36,2024-07-16,2024-07-24,Approved,Current
L000283,C04768,B022,Auto,0,14.39,60,2025-01-19,2025-02-04,Rejected,Current
L000284,C04897,B029,Personal,22900,9.29,84,2025-06-25,2025-07-07,Approved,Current
L000285,C00171,B026,Business,79800,10.63,36,2023-08-04,2023-08-23,Approved,Current
L000286,C02420,B008,Auto,40400,14.15,36,2024-08-14,2024-08-28,Approved,Current
L000287,C02780,B011,Personal,0,13.58,84,2025-07-20,2025-07-28,Rejected,Current
L000288,C01417,B007,Home,0,14.7,12,2025-11-10,2025-11-29,Rejected,Current
L000289,C00939,B006,Auto,55900,10.52,60,2023-08-10,2023-08-25,Approved,Current
L000290,C04931,B008,Home,227200,11.49,72,2025-05-23,2025-05-28,Approved,Current
L000291,C02032,B003,Home,259000,12.03,36,2025-01-23,2025-02-09,Approved,Current
L000292,C03178,B026,Education,12400,12.06,48,2024-03-21,2024-04-04,Approved,Current
L000293,C02772,B001,Home,414500,15.18,24,2024-01-14,2024-01-29,Approved,Current
L000294,C03797,B027,Home,0,14.24,36,2024-01-30,2024-02-07,Rejected,Current
L000295,C02885,B028,Business,166900,12.3,48,2024-10-04,2024-10-08,Approved,Current
L000296,C01732,B016,Home,279400,12.06,48,2024-03-16,2024-03-23,Approved,Current
L000297,C01273,B023,Personal,0,14.75,24,2023-08-02,2023-08-09,Rejected,Current
L000298,C01753,B010,Personal,10100,10.63,36,2023-05-08,2023-05-13,Approved,Current
L000299,C01957,B021,Education,16900,9.31,60,2024-05-26,2024-06-05,Approved,Current
L000300,C03488,B018,Education,0,14.93,48,2024-12-06,2024-12-26,Rejected,Current
L000301,C01692,B020,Personal,0,14.67,60,2025-06-26,2025-07-01,Rejected,Current
L000302,C04166,B016,Auto,17500,11.22,84,2025-12-04,2025-12-08,Approved,Current
L000303,C01258,B010,Personal,18400,11.21,60,2023-02-26,2023-03-09,Approved,Current
L000304,C00432,B028,Auto,0,15.58,12,2024-01-21,2024-01-27,Rejected,Current
L000305,C04266,B012,Personal,0,10.82,36,2024-05-31,2024-06-15,Rejected,Current
L000306,C02084,B026,Personal,0,14.47,24,2025-11-08,2025-11-19,Rejected,Current
L000307,C03906,B015,Business,156000,10.3,48,2025-11-20,2025-11-27,Approved,Current
L000308,C04355,B002,Home,183200,14.38,60,2025-07-28,2025-08-16,Approved,Current
L000309,C02299,B018,Personal,0,13.05,12,2024-04-12,2024-04-17,Rejected,Current
L000310,C02105,B021,Business,93800,15.44,36,2025-05-23,2025-05-27,Approved,Current
L000311,C01185,B029,Business,72300,12.47,24,2024-01-31,2024-02-01,Approved,Current
