Customer_ID,Age,Gender,Income,Employment_Status,Credit_Score,City,State,Customer_Segment
C00104,48,Male,53600,Self-Employed,664,Mesa,California,High Risk
C00105,48,Female,77100,Full-Time,615,Norfolk,California,High Risk
C00106,64,Male,59700,Full-Time,850,Irving,Florida,Low Risk
C00107,64,Female,67000,Unemployed,564,Houston,California,Very High Risk
C00108,40,Male,79400,Full-Time,653,Jacksonville,Georgia,High Risk
C00109,50,Male,55500,Full-Time,711,Aurora,Texas,Medium Risk
C00110,31,Female,41500,Full-Time,764,Tampa,Florida,Low Risk
C00111,48,Male,51200,Full-Time,738,Rochester,Georgia,Medium Risk
C00112,45,Male,111300,Full-Time,850,Phoenix,New York,Low Risk
C00113,59,Male,68500,Full-Time,681,Los Angeles,Arizona,Medium Risk
C00114,53,Female,44400,Full-Time,625,Norfolk,Arizona,High Risk
C00115,21,Male,77900,Self-Employed,674,Norfolk,Georgia,High Risk
C00116,47,Male,80200,Part-Time,666,San Diego,California,High Risk
C00117,33,Male,82100,Full-Time,685,Tempe,Texas,Medium Risk
C00118,61,Female,41900,Full-Time,616,Fresno,New York,High Risk
C00119,23,Female,47800,Self-Employed,749,Miami,Illinois,Medium Risk
C00120,59,Male,47900,Full-Time,718,Irving,Texas,Medium Risk
C00121,26,Male,55300,Full-Time,595,Arlington,Virginia,Very High Risk
C00122,28,Male,82800,Full-Time,763,Savannah,California,Low Risk
C00123,47,Male,74300,Part-Time,629,Houston,Texas,High Risk
C00124,29,Male,77000,Full-Time,601,Orlando,Arizona,High Risk
C00125,57,Male,119500,Self-Employed,697,Naperville,Illinois,Medium Risk
C00126,53,Male,88600,Part-Time,558,San Diego,Virginia,Very High Risk
C00127,62,Female,61000,Unemployed,734,Jacksonville,Illinois,Medium Risk
C00128,64,Male,38200,Full-Time,477,Jacksonville,Texas,Very High Risk
C00129,44,Female,47100,Self-Employed,613,Savannah,Arizona,High Risk
C00130,35,Male,57800,Full-Time,808,Phoenix,New York,Low Risk
C00131,52,Male,94400,Full-Time,639,Aurora,Arizona,High Risk
C00132,52,Female,64200,Full-Time,652,Mesa,Georgia,High Risk
C00133,44,Male,48400,Full-Time,786,Mesa,New York,Low Risk
C00134,61,Male,46700,Self-Employed,631,Fresno,Illinois,High Risk
C00135,32,Female,63000,Full-Time,747,Jacksonville,Florida,Medium Risk
C00136,59,Male,97000,Full-Time,778,Jacksonville,Florida,Low Risk
C00137,22,Male,133000,Full-Time,726,Irving,New York,Medium Risk
C00138,23,Male,59300,Self-Employed,582,Richmond,Florida,Very High Risk
C00139,57,Male,63700,Full-Time,645,Tampa,New York,High Risk
C00140,37,Female,37600,Self-Employed,850,Mesa,California,Low Risk
C00141,22,Male,155600,Self-Employed,653,Dallas,Virginia,High Risk
C00142,22,Male,34600,Self-Employed,850,Aurora,New York,Low Risk
C00143,48,Male,110100,Full-Time,818,Richmond,California,Low Risk
C00144,43,Male,55100,Part-Time,729,Savannah,Georgia,Medium Risk
C00145,57,Female,49600,Full-Time,712,Savannah,Illinois,Medium Risk
C00146,52,Male,39400,Self-Employed,655,Augusta,Florida,High Risk
C00147,53,Female,192300,Self-Employed,683,Tempe,Georgia,Medium Risk
C00148,21,Female,71800,Full-Time,638,Norfolk,Georgia,High Risk
C00149,39,Female,65600,Self-Employed,685,Chicago,Arizona,Medium Risk
C00150,22,Male,96900,Full-Time,588,Miami,Arizona,Very High Risk
C00151,64,Male,48500,Full-Time,584,Norfolk,Illinois,Very High Risk
C00152,46,Female,65100,Full-Time,788,Fresno,Texas,Low Risk
C00153,52,Female,66700,Retired,569,Atlanta,Virginia,Very High Risk
C00154,26,Male,51600,Self-Employed,756,San Jose,Texas,Low Risk
C00155,52,Male,111500,Self-Employed,548,Norfolk,Georgia,Very High Risk
C00156,24,Male,58900,Retired,737,Buffalo,Georgia,Medium Risk
C00157,31,Female,32300,Full-Time,674,Jacksonville,Arizona,High Risk
C00158,37,Male,56800,Unemployed,789,Norfolk,Illinois,Low Risk
C00159,58,Female,72700,Full-Time,665,Savannah,Virginia,High Risk
C00160,44,Female,43500,Self-Employed,539,Chicago,New York,Very High Risk
C00161,25,Female,45100,Self-Employed,676,Fresno,New York,High Risk
C00162,54,Female,50800,Full-Time,702,Tempe,Virginia,Medium Risk
C00163,26,Male,112600,Full-Time,680,Savannah,Florida,Medium Risk
C00164,42,Female,52200,Full-Time,733,Orlando,Illinois,Medium Risk
C00165,31,Female,123700,Retired,648,Houston,Texas,High Risk
C00166,36,Female,49300,Full-Time,595,Tempe,Illinois,Very High Risk
C00167,53,Male,75200,Full-Time,615,Mesa,Illinois,High Risk
C00168,29,Female,53200,Self-Employed,651,San Diego,Virginia,High Risk
C00169,26,Male,91300,Full-Time,651,Atlanta,Virginia,High Risk
C00170,36,Male,39300,Full-Time,850,Phoenix,Arizona,Low Risk
C00171,49,Female,90800,Part-Time,784,Augusta,Florida,Low Risk
C00172,23,Male,68400,Full-Time,742,Arlington,New York,Medium Risk
C00173,40,Female,48700,Self-Employed,723,Norfolk,Georgia,Medium Risk
C00174,56,Male,60300,Full-Time,712,Austin,Texas,Medium Risk
C00175,39,Female,129600,Full-Time,713,Miami,Florida,Medium Risk
C00176,46,Male,69200,Full-Time,702,Austin,Virginia,Medium Risk
C00177,23,Female,47400,Full-Time,693,Dallas,Texas,Medium Risk
C00178,39,Male,37800,Unemployed,533,New York,Texas,Very High Risk
C00179,40,Female,81600,Unemployed,662,Jacksonville,New York,High Risk
C00180,52,Female,71000,Full-Time,672,Irving,Georgia,High Risk
C00181,27,Male,88900,Full-Time,634,San Jose,Georgia,High Risk
C00182,61,Male,33700,Full-Time,648,Tampa,Arizona,High Risk
C00183,53,Female,38400,Full-Time,713,Los Angeles,New York,Medium Risk
C00184,60,Female,108900,Full-Time,748,Tempe,Florida,Medium Risk
C00185,59,Female,75500,Self-Employed,712,Phoenix,California,Medium Risk
C00186,38,Female,82600,Full-Time,746,Plano,Florida,Medium Risk
C00187,60,Male,42100,Full-Time,747,Tempe,Florida,Medium Risk
C00188,21,Male,41800,Full-Time,668,Houston,California,High Risk
C00189,31,Male,101500,Full-Time,729,Arlington,Texas,Medium Risk
C00190,48,Male,103700,Self-Employed,559,Irving,Illinois,Very High Risk
C00191,45,Female,39800,Full-Time,661,Orlando,California,High Risk
C00192,43,Male,36500,Full-Time,652,Jacksonville,Illinois,High Risk
C00193,51,Female,61900,Full-Time,805,San Jose,Virginia,Low Risk
C00194,50,Female,45400,Unemployed,715,Savannah,Texas,Medium Risk
C00195,62,Female,44900,Full-Time,590,Irving,California,Very High Risk
C00196,55,Female,37000,Unemployed,735,Los Angeles,New York,Medium Risk
C00197,27,Male,52600,Full-Time,758,Buffalo,Florida,Low Risk
C00198,36,Female,38700,Unemployed,683,Phoenix,California,Medium Risk
C00199,46,Male,39700,Self-Employed,742,Mesa,California,Medium Risk
C00200,22,Male,74300,Full-Time,503,Rochester,Texas,Very High Risk
C00201,21,Female,63400,Self-Employed,488,Orlando,New York,Very High Risk
C00202,32,Male,80800,Part-Time,602,San Diego,California,High Risk
C00203,25,Female,30900,Full-Time,701,Los Angeles,Virginia,Medium Risk
C00204,57,Female,65300,Full-Time,805,Tampa,New York,Low Risk
C00205,52,Female,165400,Part-Time,606,Richmond,Illinois,High Risk
C00206,29,Male,55000,Part-Time,626,Houston,California,High Risk
C00207,61,Female,94200,Self-Employed,697,New York,Virginia,Medium Risk
C00208,55,Male,93800,Self-Employed,653,Orlando,New York,High Risk
C00209,39,Female,95900,Part-Time,649,Richmond,Florida,High Risk
C00210,36,Male,70100,Self-Employed,658,Tampa,Texas,High Risk
C00211,23,Female,83900,Full-Time,789,Plano,Georgia,Low Risk
C00212,40,Male,89000,Full-Time,774,Orlando,New York,Low Risk
C00213,44,Male,86500,Unemployed,692,Jacksonville,Texas,Medium Risk
C00214,53,Male,39300,Full-Time,814,Orlando,Georgia,Low Risk
C00215,44,Male,30100,Full-Time,728,Fresno,Virginia,Medium Risk
C00216,31,Female,32300,Self-Employed,777,Richmond,California,Low Risk
C00217,28,Male,57600,Full-Time,625,Arlington,California,High Risk
C00218,56,Male,84900,Full-Time,641,Savannah,Illinois,High Risk
C00219,58,Female,39500,Full-Time,640,Rochester,Texas,High Risk
C00220,60,Male,98500,Part-Time,683,Irving,Florida,Medium Risk
C00221,40,Male,51900,Retired,694,Arlington,Arizona,Medium Risk
C00222,55,Female,52100,Full-Time,714,Tampa,Florida,Medium Risk
C00223,45,Male,44600,Full-Time,838,Austin,New York,Low Risk
C00224,55,Male,27800,Full-Time,744,Rochester,Florida,Medium Risk
C00225,45,Male,72100,Full-Time,651,Naperville,Georgia,High Risk
C00226,49,Male,140500,Full-Time,690,Chicago,Texas,Medium Risk
C00227,38,Female,63200,Full-Time,803,Norfolk,California,Low Risk
C00228,66,Male,28300,Full-Time,749,Orlando,Texas,Medium Risk
C00229,38,Female,92300,Full-Time,802,Savannah,Texas,Low Risk
C00230,22,Male,31300,Full-Time,654,Naperville,California,High Risk
C00231,55,Male,37700,Self-Employed,637,Arlington,Georgia,High Risk
C00232,36,Male,58400,Unemployed,638,Aurora,Virginia,High Risk
C00233,61,Female,68700,Retired,660,Arlington,Texas,High Risk
C00234,56,Female,41300,Part-Time,610,Fresno,Florida,High Risk
C00235,53,Male,57400,Full-Time,712,Jacksonville,New York,Medium Risk
C00236,24,Female,89700,Self-Employed,713,Richmond,Arizona,Medium Risk
C00237,53,Male,95400,Full-Time,790,Los Angeles,New York,Low Risk
C00238,34,Male,114200,Part-Time,558,Austin,Texas,Very High Risk
C00239,41,Male,153500,Self-Employed,619,Phoenix,Georgia,High Risk
C00240,40,Male,93600,Self-Employed,750,Tampa,California,Low Risk
C00241,28,Male,59000,Retired,704,Fresno,Illinois,Medium Risk
C00242,27,Male,95700,Self-Employed,693,Fresno,Georgia,Medium Risk
C00243,23,Male,80200,Part-Time,785,Buffalo,Texas,Low Risk
C00244,37,Male,81600,Full-Time,614,Dallas,Texas,High Risk
C00245,53,Male,70400,Unemployed,635,Aurora,Illinois,High Risk
C00246,32,Male,43100,Full-Time,627,Buffalo,New York,High Risk
C00247,42,Female,40900,Unemployed,539,San Jose,Georgia,Very High Risk
C00248,42,Male,62200,Full-Time,700,Orlando,New York,Medium Risk
C00249,66,Female,69500,Full-Time,651,Chicago,Arizona,High Risk
C00250,50,Female,47900,Self-Employed,635,Arlington,Illinois,High Risk
C00251,58,Male,78600,Full-Time,621,Norfolk,California,High Risk
C00252,58,Male,165800,Self-Employed,689,Arlington,Arizona,Medium Risk
C00253,65,Male,29600,Full-Time,630,New York,Texas,High Risk
C00254,28,Female,84500,Unemployed,707,Naperville,Florida,Medium Risk
C00255,47,Male,63100,Part-Time,724,Arlington,New York,Medium Risk
C00256,47,Male,79600,Part-Time,668,Phoenix,New York,High Risk
C00257,54,Male,53500,Full-Time,663,Tempe,Georgia,High Risk
C00258,41,Female,60900,Full-Time,704,Irving,Arizona,Medium Risk
C00259,50,Male,68900,Self-Employed,688,Plano,Arizona,Medium Risk
C00260,53,Female,56700,Full-Time,790,Buffalo,New York,Low Risk
C00261,48,Male,32800,Full-Time,714,Naperville,Virginia,Medium Risk
C00262,67,Female,58500,Part-Time,772,Mesa,California,Low Risk
C00263,53,Female,34400,Full-Time,736,Rochester,Illinois,Medium Risk
C00264,25,Male,87200,Full-Time,591,Jacksonville,California,Very High Risk
C00265,39,Female,28100,Full-Time,648,Arlington,New York,High Risk
C00266,24,Female,103300,Full-Time,686,Richmond,Georgia,Medium Risk
C00267,55,Male,78900,Unemployed,755,San Diego,Texas,Low Risk
C00268,37,Male,79000,Full-Time,835,Chicago,New York,Low Risk
C00269,64,Female,24500,Retired,654,Naperville,Texas,High Risk
C00270,48,Female,56100,Full-Time,694,Mesa,Georgia,Medium Risk
C00271,50,Female,109200,Full-Time,750,San Diego,Texas,Low Risk
C00272,49,Female,51500,Full-Time,686,Tampa,New York,Medium Risk
C00273,66,Female,40000,Full-Time,813,Jacksonville,New York,Low Risk
C00274,26,Male,48800,Part-Time,589,Jacksonville,Texas,Very High Risk
C00275,55,Female,63000,Self-Employed,741,New York,California,Medium Risk
C00276,61,Male,44300,Full-Time,740,Buffalo,California,Medium Risk
C00277,57,Female,113300,Self-Employed,776,Plano,Georgia,Low Risk
C00278,44,Female,63100,Full-Time,695,Los Angeles,California,Medium Risk
C00279,49,Female,50600,Full-Time,757,Fresno,Arizona,Low Risk
C00280,66,Male,36200,Full-Time,671,Buffalo,Florida,High Risk
C00281,51,Male,80800,Unemployed,630,Atlanta,Texas,High Risk
C00282,55,Male,80000,Full-Time,619,Rochester,Florida,High Risk
C00283,53,Female,45500,Unemployed,582,Richmond,Florida,Very High Risk
C00284,41,Female,23800,Full-Time,657,Plano,Arizona,High Risk
C00285,52,Male,78200,Full-Time,713,Austin,Texas,Medium Risk
C00286,43,Female,59800,Full-Time,674,Phoenix,Florida,High Risk
C00287,53,Female,75600,Self-Employed,705,Atlanta,Georgia,Medium Risk
C00288,23,Male,156800,Self-Employed,783,Phoenix,Georgia,Low Risk
C00289,38,Male,64200,Full-Time,651,Savannah,Texas,High Risk
C00290,45,Female,51600,Unemployed,850,San Jose,Illinois,Low Risk
C00291,62,Female,38800,Full-Time,747,San Jose,Illinois,Medium Risk
C00292,51,Female,56500,Unemployed,675,Savannah,Virginia,High Risk
C00293,23,Male,69900,Self-Employed,674,San Diego,Arizona,High Risk
C00294,60,Female,66600,Self-Employed,614,Orlando,Texas,High Risk
C00295,66,Male,141200,Self-Employed,688,Augusta,Texas,Medium Risk
C00296,44,Male,81400,Full-Time,528,Jacksonville,Texas,Very High Risk
C00297,52,Male,61200,Part-Time,784,San Jose,California,Low Risk
C00298,67,Male,47300,Full-Time,479,Fresno,Texas,Very High Risk
C00299,42,Male,73300,Full-Time,693,Rochester,Georgia,Medium Risk
C00300,43,Male,43200,Full-Time,604,Irving,Georgia,High Risk
C00301,22,Female,70500,Full-Time,637,Phoenix,New York,High Risk
C00302,47,Female,80900,Full-Time,647,New York,Illinois,High Risk
C00303,62,Male,59000,Full-Time,834,Dallas,Virginia,Low Risk
C00304,22,Female,48900,Full-Time,607,Arlington,Illinois,High Risk
C00305,46,Female,24300,Full-Time,759,Tempe,Arizona,Low Risk
C00306,37,Female,108800,Self-Employed,777,Naperville,Texas,Low Risk
C00307,60,Female,77900,Full-Time,515,Chicago,Illinois,Very High Risk
C00308,53,Male,78800,Self-Employed,644,Augusta,Texas,High Risk
C00309,29,Female,32200,Full-Time,801,New York,Texas,Low Risk
C00310,63,Female,120900,Full-Time,591,Jacksonville,Illinois,Very High Risk
C00311,59,Male,52700,Full-Time,780,San Jose,Illinois,Low Risk
C00312,49,Female,57100,Full-Time,689,Arlington,New York,Medium Risk
C00313,62,Female,40200,Part-Time,685,Austin,Arizona,Medium Risk
C00314,46,Male,29100,Part-Time,695,Dallas,Virginia,Medium Risk
C00315,55,Female,109400,Full-Time,716,Naperville,Florida,Medium Risk
C00316,45,Female,116000,Full-Time,618,Buffalo,New York,High Risk
C00317,44,Male,60300,Unemployed,670,Savannah,New York,High Risk
C00318,33,Male,47900,Full-Time,718,Arlington,Illinois,Medium Risk
C00319,27,Male,54900,Full-Time,703,San Jose,Virginia,Medium Risk
C00320,56,Female,55500,Part-Time,716,Fresno,Arizona,Medium Risk
C00321,65,Female,37900,Full-Time,636,Jacksonville,Georgia,High Risk
C00322,40,Male,57000,Retired,737,Tampa,Arizona,Medium Risk
C00323,21,Female,69600,Part-Time,699,Fresno,New York,Medium Risk
C00324,28,Female,102800,Full-Time,571,Atlanta,Georgia,Very High Risk
C00325,66,Female,65400,Full-Time,650,Tempe,Illinois,High Risk
C00326,36,Male,32000,Full-Time,623,Orlando,California,High Risk
C00327,34,Male,76200,Full-Time,622,Irving,Texas,High Risk
C00328,32,Female,57900,Retired,654,Naperville,Florida,High Risk
C00329,43,Female,120400,Part-Time,736,Savannah,Georgia,Medium Risk
C00330,35,Female,123700,Full-Time,643,Aurora,California,High Risk
C00331,48,Female,125600,Full-Time,707,Orlando,Georgia,Medium Risk
C00332,54,Male,50500,Full-Time,695,Arlington,Texas,Medium Risk
C00333,22,Female,159100,Full-Time,632,Orlando,Texas,High Risk
C00334,52,Male,76100,Part-Time,664,Los Angeles,Arizona,High Risk
C00335,43,Male,135100,Part-Time,755,Dallas,Florida,Low Risk
C00336,42,Male,51800,Part-Time,701,Augusta,New York,Medium Risk
C00337,45,Male,56800,Full-Time,731,Savannah,Texas,Medium Risk
C00338,42,Male,73500,Part-Time,785,Fresno,Florida,Low Risk
C00339,42,Female,69600,Full-Time,723,San Diego,Georgia,Medium Risk
C00340,62,Female,114300,Part-Time,546,Los Angeles,Georgia,Very High Risk
C00341,26,Male,58600,Full-Time,710,Arlington,Georgia,Medium Risk
C00342,35,Female,109800,Part-Time,644,Norfolk,Arizona,High Risk
C00343,63,Male,90400,Unemployed,826,Phoenix,Georgia,Low Risk
C00344,57,Male,59000,Self-Employed,720,Miami,Georgia,Medium Risk
C00345,53,Female,87300,Retired,645,Irving,Illinois,High Risk
C00346,28,Female,52500,Retired,732,Dallas,Texas,Medium Risk
C00347,64,Female,187200,Self-Employed,697,Buffalo,Arizona,Medium Risk
C00348,64,Male,22000,Retired,561,Mesa,Texas,Very High Risk
C00349,25,Female,88000,Unemployed,755,Irving,New York,Low Risk
C00350,59,Female,29400,Self-Employed,660,Atlanta,Arizona,High Risk
C00351,24,Female,58700,Full-Time,797,Los Angeles,Virginia,Low Risk
C00352,26,Male,62500,Full-Time,681,Irving,New York,Medium Risk
C00353,65,Female,128100,Self-Employed,798,Chicago,Arizona,Low Risk
C00354,52,Female,47600,Full-Time,722,Aurora,Illinois,Medium Risk
C00355,50,Female,117100,Self-Employed,763,Houston,Texas,Low Risk
C00356,67,Male,38200,Full-Time,653,Tempe,Arizona,High Risk
C00357,55,Male,119200,Full-Time,716,Savannah,New York,Medium Risk
C00358,60,Male,52500,Self-Employed,561,Phoenix,Arizona,Very High Risk
C00359,36,Male,67200,Unemployed,680,Plano,Florida,Medium Risk
C00360,33,Male,55900,Full-Time,579,San Jose,Georgia,Very High Risk
C00361,62,Male,115800,Unemployed,604,Irving,Georgia,High Risk
C00362,50,Female,106000,Self-Employed,623,Houston,Virginia,High Risk
C00363,39,Male,79400,Full-Time,740,Mesa,Texas,Medium Risk
C00364,37,Male,38700,Full-Time,679,Augusta,Georgia,High Risk
C00365,39,Male,47100,Full-Time,692,New York,Georgia,Medium Risk
C00366,48,Male,40900,Full-Time,677,Houston,Virginia,High Risk
C00367,46,Female,23600,Full-Time,771,San Jose,Florida,Low Risk
C00368,57,Female,114700,Full-Time,690,Austin,California,Medium Risk
C00369,46,Female,56100,Full-Time,709,New York,Illinois,Medium Risk
C00370,43,Male,55800,Self-Employed,647,Richmond,New York,High Risk
C00371,29,Female,127400,Full-Time,776,Aurora,California,Low Risk
C00372,32,Male,52500,Part-Time,782,Phoenix,New York,Low Risk
C00373,21,Female,44500,Full-Time,687,Tampa,California,Medium Risk
C00374,21,Male,58700,Self-Employed,646,Buffalo,Georgia,High Risk
C00375,67,Female,39000,Unemployed,569,Atlanta,New York,Very High Risk
C00376,54,Female,75900,Full-Time,625,Atlanta,Illinois,High Risk
C00377,52,Male,54900,Unemployed,527,Richmond,Texas,Very High Risk
C00378,45,Male,51700,Self-Employed,622,Fresno,Florida,High Risk
C00379,60,Female,49800,Self-Employed,717,Plano,California,Medium Risk
C00380,65,Male,62000,Self-Employed,686,Dallas,Florida,Medium Risk
C00381,21,Male,67500,Full-Time,850,Buffalo,Virginia,Low Risk
C00382,36,Male,51400,Full-Time,662,Phoenix,Florida,High Risk
C00383,59,Male,55300,Full-Time,656,Buffalo,New York,High Risk
C00384,25,Female,62700,Full-Time,770,Norfolk,Texas,Low Risk
C00385,42,Male,59900,Full-Time,545,San Jose,New York,Very High Risk
C00386,49,Male,65900,Unemployed,579,Austin,Virginia,Very High Risk
C00387,23,Female,47900,Full-Time,740,Plano,Florida,Medium Risk
C00388,32,Female,102200,Retired,675,Houston,Georgia,High Risk
C00389,46,Male,67900,Part-Time,677,Aurora,Arizona,High Risk
C00390,36,Female,51800,Full-Time,620,Tampa,Illinois,High Risk
C00391,57,Male,75900,Full-Time,708,Aurora,Texas,Medium Risk
C00392,42,Male,62900,Full-Time,629,Savannah,Texas,High Risk
C00393,49,Female,29800,Retired,695,Miami,Georgia,Medium Risk
