Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Days_Late,Payment_Status
P0000078,L006781,2025-07-19,655.8,10,Late
P0000079,L005224,2025-06-02,5671.29,0,On Time
P0000080,L002325,2026-01-05,565.17,0,On Time
P0000081,L003721,2024-11-22,473.53,5,Late
P0000082,L000532,2026-01-14,2173.77,8,Late
P0000083,L003635,2025-03-21,651.89,0,On Time
P0000084,L001695,2026-06-08,342.86,0,On Time
P0000085,L005831,2023-04-17,1612.22,3,Late
P0000086,L002794,2026-07-02,441.58,4,Late
P0000087,L005083,2023-03-29,681.49,0,On Time
P0000088,L005626,2025-10-02,1377.38,0,On Time
P0000089,L004704,2024-02-16,1032.61,0,On Time
P0000090,L001549,2023-05-05,523.22,13,Late
P0000091,L006465,2024-04-29,765.17,0,On Time
P0000092,L002303,2025-01-12,485.85,0,On Time
P0000093,L001389,2024-10-28,1827.4,0,On Time
P0000094,L000118,2023-05-06,1051.92,10,Late
P0000095,L002319,2025-07-29,223.98,2,Late
P0000096,L000979,2026-01-21,179.26,0,On Time
P0000097,L003731,2025-12-09,1238.28,0,On Time
P0000098,L006751,2023-03-29,903.2,22,Severely Late
P0000099,L003597,2026-06-28,1470.25,6,Late
P0000100,L002885,2026-01-02,360.87,19,Severely Late
P0000101,L004769,2024-05-28,820.77,0,On Time
P0000102,L003491,2023-11-04,1202.16,2,Late
P0000103,L001341,2025-05-08,392.47,0,On Time
P0000104,L000118,2023-11-10,442.26,0,On Time
P0000105,L007056,2023-07-14,648.68,1,Late
P0000106,L004250,2023-11-28,3369.62,14,Late
P0000107,L006888,2024-05-09,620.6,11,Late
P0000108,L002417,2024-08-08,1323.32,7,Late
P0000109,L000720,2025-06-04,1585.56,0,On Time
P0000110,L003356,2024-01-08,667.95,6,Late
P0000111,L001435,2026-03-31,966.35,0,On Time
P0000112,L001881,2023-10-22,234.13,8,Late
P0000113,L005710,2026-03-24,2975.81,7,Late
P0000114,L001529,2025-01-18,894.61,7,Late
P0000115,L005034,2024-10-04,761.77,8,Late
P0000116,L004565,2024-12-09,345.96,18,Severely Late
P0000117,L006991,2023-08-10,559.15,6,Late
P0000118,L001662,2026-04-11,4191.03,5,Late
P0000119,L002856,2026-06-28,751.96,5,Late
P0000120,L002847,2025-02-04,566.31,0,On Time
P0000121,L006798,2023-10-15,594.11,8,Late
P0000122,L000161,2023-07-26,127.96,0,On Time
P0000123,L005306,2025-08-15,816.22,19,Severely Late
P0000124,L007093,2025-10-01,1087.24,0,On Time
P0000125,L006059,2025-06-18,470.04,0,On Time
P0000126,L002292,2023-12-23,1009.16,6,Late
P0000127,L001593,2025-09-13,1011.67,0,On Time
P0000128,L005711,2026-04-27,89.4,0,On Time
P0000129,L000729,2025-12-07,987.28,8,Late
P0000130,L006371,2026-07-28,1191.17,11,Late
P0000131,L004223,2024-12-09,456.21,7,Late
P0000132,L005621,2023-07-06,1379.7,0,On Time
P0000133,L003406,2023-12-29,397.13,11,Late
P0000134,L002228,2025-10-03,939.01,0,On Time
P0000135,L003526,2024-07-08,936.28,0,On Time
P0000136,L006727,2023-08-17,1624.94,6,Late
P0000137,L001329,2025-01-22,1224.96,0,On Time
P0000138,L002813,2023-06-08,712.03,2,Late
P0000139,L005379,2023-03-20,4823.8,10,Late
P0000140,L007189,2024-07-24,2173.5,0,On Time
P0000141,L002158,2023-04-17,453.58,0,On Time
P0000142,L002210,2023-07-09,714.77,0,On Time
P0000143,L000538,2026-02-19,775.84,6,Late
P0000144,L001354,2023-05-21,320.42,9,Late
P0000145,L000539,2023-07-27,467.01,16,Severely Late
P0000146,L007423,2024-07-07,1303.33,0,On Time
P0000147,L006078,2023-10-21,890.69,0,On Time
P0000148,L007894,2026-07-30,385.7,0,On Time
P0000149,L003416,2023-02-02,756.72,0,On Time
P0000150,L000878,2024-06-11,430.01,13,Late
P0000151,L007922,2024-06-07,594.88,0,On Time
P0000152,L004375,2023-02-27,5442.71,0,On Time
P0000153,L007092,2023-12-28,997.13,2,Late
P0000154,L007161,2025-11-29,1417.82,0,On Time
P0000155,L007635,2025-11-14,1622.6,12,Late
P0000156,L003060,2023-05-01,974.6,5,Late
P0000157,L007154,2026-07-01,953.65,0,On Time
P0000158,L007388,2023-07-27,1292.49,13,Late
P0000159,L001664,2025-02-22,898.54,10,Late
P0000160,L006406,2025-09-28,999.08,15,Late
P0000161,L007616,2024-07-08,796.65,0,On Time
P0000162,L002631,2025-08-10,620.06,3,Late
P0000163,L002893,2023-02-09,286.53,0,On Time
P0000164,L002757,2025-03-27,463.52,2,Late
P0000165,L001258,2023-11-08,683.81,5,Late
P0000166,L001483,2025-10-05,739.34,5,Late
P0000167,L003452,2026-07-13,1858.54,7,Late
P0000168,L001760,2026-03-13,1005.9,1,Late
P0000169,L004375,2023-05-19,1059.5,0,On Time
P0000170,L001228,2023-10-04,327.49,4,Late
P0000171,L004047,2025-01-01,743.95,0,On Time
P0000172,L003975,2023-10-28,446.43,7,Late
P0000173,L001595,2025-08-11,2664.77,15,Late
P0000174,L003760,2023-04-27,461.3,15,Late
P0000175,L004743,2025-08-20,1127.08,0,On Time
P0000176,L001142,2023-02-17,4991.5,0,On Time
P0000177,L007364,2025-03-21,1140.13,5,Late
P0000178,L006411,2026-04-11,105.05,16,Severely Late
P0000179,L007836,2025-05-18,1684.32,0,On Time
P0000180,L005523,2023-02-10,800.65,4,Late
P0000181,L004575,2026-01-02,314.88,0,On Time
P0000182,L005720,2025-02-18,919.92,27,Severely Late
P0000183,L003635,2025-01-18,1308.84,5,Late
P0000184,L000551,2026-02-14,370.52,20,Severely Late
P0000185,L000375,2024-04-26,1142.58,0,On Time
P0000186,L004860,2023-10-22,1084.81,13,Late
P0000187,L001133,2026-05-03,2006.62,0,On Time
P0000188,L006420,2023-11-17,867.45,8,Late
P0000189,L006653,2025-05-13,1142.9,0,On Time
P0000190,L007886,2023-10-19,306.22,0,On Time
P0000191,L003075,2023-04-18,1119.22,7,Late
P0000192,L005969,2024-11-27,1050.96,3,Late
P0000193,L000030,2023-07-12,686.13,0,On Time
P0000194,L003802,2024-09-29,1218.76,0,On Time
P0000195,L003435,2025-04-16,1663.2,0,On Time
P0000196,L007043,2024-03-18,573.86,0,On Time
P0000197,L005444,2024-08-20,673.05,0,On Time
P0000198,L006684,2024-09-08,3668.84,4,Late
P0000199,L006316,2026-03-11,271.15,1,Late
P0000200,L003903,2024-11-13,1825.65,10,Late
P0000201,L007654,2024-05-30,4252.67,12,Late
P0000202,L002066,2023-05-12,312.12,6,Late
P0000203,L006164,2023-05-02,2350.17,11,Late
P0000204,L006030,2024-05-10,1442.83,0,On Time
P0000205,L006928,2025-01-06,1632.15,17,Severely Late
P0000206,L006869,2023-03-14,1000.65,0,On Time
P0000207,L000537,2024-08-10,568.57,0,On Time
P0000208,L005531,2024-11-16,484.5,8,Late
P0000209,L001534,2023-10-26,702.73,18,Severely Late
P0000210,L003394,2024-05-11,1793.76,4,Late
P0000211,L000319,2025-02-06,2367.3,17,Severely Late
P0000212,L003710,2025-09-11,2536.66,0,On Time
P0000213,L006724,2025-11-04,712.93,0,On Time
P0000214,L003289,2024-08-01,441.9,7,Late
P0000215,L004752,2023-05-06,833.89,7,Late
P0000216,L004303,2023-04-25,2909.19,23,Severely Late
P0000217,L003421,2025-08-12,839.87,1,Late
P0000218,L003266,2024-09-25,629.09,0,On Time
P0000219,L006677,2025-05-25,2386.97,4,Late
P0000220,L001691,2026-02-13,367.42,6,Late
P0000221,L005215,2024-02-22,593.86,12,Late
P0000222,L001140,2023-12-07,395.59,1,Late
P0000223,L007589,2024-12-08,2181.28,0,On Time
P0000224,L007721,2024-08-17,1207.74,9,Late
P0000225,L004551,2023-07-21,1616.17,0,On Time
P0000226,L002331,2026-01-30,448.58,12,Late
P0000227,L006230,2023-03-26,2022.34,9,Late
P0000228,L003592,2024-03-23,129.27,0,On Time
P0000229,L006006,2025-05-15,369.46,0,On Time
P0000230,L005125,2023-06-13,945.45,0,On Time
P0000231,L006221,2026-07-12,1532.81,5,Late
P0000232,L005116,2025-07-17,546.77,7,Late
P0000233,L001124,2025-01-10,235.69,2,Late
P0000234,L002074,2023-10-13,474.32,5,Late
P0000235,L002112,2025-07-09,409.76,20,Severely Late
P0000236,L003910,2023-05-14,5232.87,19,Severely Late
P0000237,L003575,2023-11-03,1330.45,0,On Time
P0000238,L000372,2024-06-27,437.66,13,Late
P0000239,L003333,2024-07-30,305.04,3,Late
P0000240,L006020,2024-01-25,498.78,0,On Time
P0000241,L004836,2025-09-05,944.17,12,Late
P0000242,L007359,2023-05-28,621.45,0,On Time
P0000243,L001083,2023-12-05,3448.12,0,On Time
P0000244,L004596,2025-12-01,523.75,0,On Time
P0000245,L005357,2025-09-13,1270.87,2,Late
P0000246,L004017,2024-09-19,537.31,0,On Time
P0000247,L003723,2025-04-14,1462.83,16,Severely Late
P0000248,L000858,2024-11-07,638.76,2,Late
P0000249,L005559,2024-01-12,1675.01,3,Late
P0000250,L004353,2023-09-04,1123.78,0,On Time
P0000251,L005078,2024-08-23,2761.18,0,On Time
P0000252,L005750,2026-03-04,975.14,0,On Time
P0000253,L000191,2024-02-04,1225.62,25,Severely Late
P0000254,L002158,2025-10-13,373.03,2,Late
P0000255,L005247,2024-03-16,318.79,0,On Time
P0000256,L003961,2024-03-26,1329.81,4,Late
P0000257,L000698,2026-04-17,780.51,7,Late
P0000258,L002333,2024-07-28,1399.27,0,On Time
P0000259,L004465,2025-10-29,611.77,0,On Time
P0000260,L000516,2025-10-17,1000.86,7,Late
P0000261,L007133,2023-05-02,519.46,0,On Time
P0000262,L000794,2026-07-22,1154.56,0,On Time
P0000263,L002835,2026-02-13,464.63,0,On Time
P0000264,L000241,2026-02-08,917.59,0,On Time
P0000265,L002706,2023-06-22,581.65,15,Late
P0000266,L000748,2024-08-27,1946.34,7,Late
P0000267,L006564,2026-02-02,535.1,0,On Time
P0000268,L006128,2024-09-26,581.0,0,On Time
P0000269,L004650,2025-02-27,708.43,11,Late
P0000270,L005792,2024-03-09,1542.07,9,Late
P0000271,L004158,2024-01-26,827.98,0,On Time
P0000272,L002227,2026-02-10,759.65,12,Late
P0000273,L007764,2025-10-15,676.89,0,On Time
P0000274,L005960,2025-09-14,989.77,0,On Time
P0000275,L001932,2023-04-26,575.91,0,On Time
P0000276,L004357,2024-09-26,506.42,15,Late
P0000277,L007456,2024-11-17,749.49,3,Late
P0000278,L006649,2024-09-17,581.52,0,On Time
P0000279,L005734,2023-10-15,624.14,0,On Time
P0000280,L001146,2024-03-19,217.24,0,On Time
P0000281,L006947,2024-03-12,1995.53,0,On Time
P0000282,L004777,2024-12-03,860.27,0,On Time
P0000283,L007620,2024-09-16,842.86,0,On Time
P0000284,L002072,2026-07-06,500.11,6,Late
P0000285,L005448,2023-12-14,630.17,32,Severely Late
P0000286,L005280,2024-04-11,406.96,0,On Time
P0000287,L004301,2025-05-20,480.0,4,Late
P0000288,L004126,2023-05-19,724.08,0,On Time
P0000289,L006257,2025-12-04,922.8,21,Severely Late
P0000290,L003805,2025-08-24,1168.8,4,Late
P0000291,L000900,2026-06-19,1427.64,7,Late
P0000292,L006158,2023-12-17,1852.14,7,Late
P0000293,L005933,2026-04-04,1283.48,28,Severely Late
P0000294,L001457,2023-07-01,809.41,11,Late
P0000295,L001292,2023-04-30,1126.82,5,Late
P0000296,L007402,2026-03-13,766.13,4,Late
P0000297,L001915,2023-10-21,459.5,4,Late
P0000298,L000245,2026-02-25,3228.68,0,On Time
P0000299,L007063,2023-04-17,1569.41,0,On Time
P0000300,L005294,2026-02-25,1178.94,13,Late
P0000301,L003608,2023-05-22,957.94,0,On Time
P0000302,L006280,2025-02-16,1323.19,0,On Time
P0000303,L005551,2026-01-04,1034.66,0,On Time
P0000304,L005843,2023-02-04,918.36,0,On Time
P0000305,L001546,2026-03-04,1694.31,5,Late
P0000306,L000169,2025-04-13,872.48,3,Late
P0000307,L002903,2023-09-22,1909.25,0,On Time
P0000308,L002163,2026-05-20,933.35,0,On Time
P0000309,L001723,2026-01-16,329.68,1,Late
P0000310,L001275,2023-05-10,1161.87,0,On Time
P0000311,L003338,2023-05-11,578.18,0,On Time
P0000312,L006618,2024-02-27,444.42,0,On Time
P0000313,L007051,2023-04-17,558.91,1,Late
P0000314,L003860,2025-05-23,313.92,0,On Time
P0000315,L000686,2025-02-27,1404.49,7,Late
P0000316,L006640,2024-01-31,1116.24,12,Late
P0000317,L006678,2024-02-10,991.49,0,On Time
P0000318,L006732,2024-04-26,391.98,0,On Time
P0000319,L005855,2024-10-14,1181.16,9,Late
P0000320,L006689,2023-03-31,3189.59,4,Late
P0000321,L006128,2023-02-14,959.95,13,Late
P0000322,L005447,2025-01-05,582.84,1,Late
P0000323,L005187,2025-09-03,406.89,5,Late
P0000324,L002604,2025-01-23,522.13,11,Late
P0000325,L007850,2025-07-21,2650.38,0,On Time
P0000326,L006947,2024-02-13,632.75,0,On Time
P0000327,L004154,2023-12-30,295.37,23,Severely Late
P0000328,L000078,2023-10-07,1044.56,12,Late
P0000329,L004177,2023-11-26,631.92,0,On Time
P0000330,L000947,2023-08-15,441.25,0,On Time
P0000331,L003150,2025-09-03,1283.46,0,On Time
P0000332,L005600,2023-04-29,680.71,9,Late
P0000333,L002479,2023-05-12,959.93,0,On Time
P0000334,L002276,2025-06-22,902.8,17,Severely Late
P0000335,L001663,2026-05-19,2224.58,0,On Time
P0000336,L000922,2024-01-18,1129.59,0,On Time
P0000337,L004081,2024-12-09,1182.54,0,On Time
P0000338,L002300,2026-07-23,448.84,9,Late
P0000339,L005896,2025-01-27,295.26,0,On Time
P0000340,L005795,2026-02-13,4579.39,13,Late
P0000341,L001343,2023-07-05,1368.97,0,On Time
P0000342,L006992,2025-04-27,427.32,5,Late
P0000343,L004647,2025-01-02,1772.84,0,On Time
P0000344,L003869,2024-07-08,881.01,0,On Time
P0000345,L001365,2023-12-06,697.73,9,Late
P0000346,L004620,2023-10-25,552.81,0,On Time
P0000347,L007983,2026-06-12,1010.45,10,Late
P0000348,L005656,2024-12-20,2024.95,0,On Time
P0000349,L005620,2023-10-10,1674.96,0,On Time
P0000350,L007456,2023-05-25,3443.67,0,On Time
P0000351,L002806,2025-03-06,741.77,3,Late
P0000352,L003782,2025-07-27,871.87,0,On Time
P0000353,L001248,2024-11-04,1580.49,8,Late
P0000354,L002043,2024-01-11,1317.92,18,Severely Late
P0000355,L000612,2026-07-11,3642.78,7,Late
P0000356,L003689,2026-05-26,3721.74,18,Severely Late
P0000357,L005441,2023-08-03,692.44,0,On Time
P0000358,L007351,2023-12-21,228.39,18,Severely Late
P0000359,L004763,2023-02-09,141.36,23,Severely Late
P0000360,L005786,2025-08-01,1133.57,0,On Time
P0000361,L004203,2024-01-03,662.09,0,On Time
P0000362,L003774,2026-03-04,1372.38,0,On Time
P0000363,L002554,2024-05-27,583.62,0,On Time
P0000364,L001696,2024-05-24,2488.66,0,On Time
P0000365,L005601,2024-01-14,372.67,4,Late
P0000366,L001627,2026-03-20,607.52,0,On Time
P0000367,L006764,2025-02-21,608.4,14,Late
P0000368,L007277,2023-10-02,1201.79,2,Late
P0000369,L005027,2024-10-04,620.56,14,Late
P0000370,L000328,2026-02-26,655.58,6,Late
P0000371,L004697,2024-06-20,1870.91,15,Late
P0000372,L000391,2025-01-15,1730.98,0,On Time
P0000373,L005118,2024-04-18,1066.59,13,Late
P0000374,L000346,2023-08-01,426.19,5,Late
P0000375,L001471,2023-11-04,1110.71,1,Late
P0000376,L007056,2025-12-29,1454.51,4,Late
P0000377,L005312,2026-06-11,784.82,21,Severely Late
P0000378,L001067,2024-06-01,513.05,10,Late
P0000379,L003502,2026-01-06,605.95,12,Late
P0000380,L000885,2026-01-30,1013.36,14,Late
P0000381,L007759,2023-07-08,2071.33,2,Late
P0000382,L005884,2026-07-21,473.06,9,Late
P0000383,L002359,2023-12-01,1120.82,0,On Time
P0000384,L000541,2026-05-08,1672.63,1,Late
P0000385,L005116,2023-02-21,1140.71,0,On Time
P0000386,L002025,2024-12-01,1619.01,1,Late
P0000387,L007753,2024-06-05,598.13,0,On Time
P0000388,L002818,2025-02-13,752.8,1,Late
P0000389,L000732,2023-05-13,347.78,5,Late
P0000390,L001638,2023-11-25,555.14,0,On Time
P0000391,L003075,2025-12-09,497.9,0,On Time
P0000392,L001509,2026-07-23,447.19,1,Late
P0000393,L000763,2023-05-27,1289.22,14,Late
P0000394,L007610,2026-05-04,288.26,18,Severely Late
P0000395,L007308,2024-11-26,369.72,12,Late
P0000396,L003745,2024-09-03,1423.69,27,Severely Late
P0000397,L005111,2024-07-14,721.96,22,Severely Late
P0000398,L006512,2025-02-19,421.11,3,Late
P0000399,L002060,2026-07-06,1161.16,0,On Time
P0000400,L000370,2026-02-04,730.96,0,On Time
P0000401,L005186,2026-04-14,1005.17,0,On Time
P0000402,L004360,2024-07-11,967.84,0,On Time
P0000403,L005400,2023-10-31,723.97,2,Late
P0000404,L006947,2023-08-25,493.57,0,On Time
P0000405,L002092,2026-04-26,699.96,2,Late
P0000406,L007954,2025-04-11,1047.08,11,Late
P0000407,L007826,2026-05-31,1115.23,10,Late
P0000408,L000670,2023-03-07,1042.2,0,On Time
P0000409,L003476,2024-11-13,684.04,10,Late
P0000410,L007180,2024-12-20,1059.51,7,Late
P0000411,L005806,2024-04-12,327.24,5,Late
P0000412,L001237,2025-08-27,1104.01,12,Late
P0000413,L003220,2024-02-24,1437.54,5,Late
P0000414,L004669,2026-02-07,114.32,9,Late
P0000415,L000655,2026-05-12,1682.15,0,On Time
P0000416,L006448,2023-05-10,2347.38,0,On Time
P0000417,L005363,2025-12-24,1156.19,10,Late
P0000418,L005041,2023-08-13,210.1,0,On Time
P0000419,L002520,2023-06-09,914.25,3,Late
P0000420,L003314,2023-10-19,508.0,6,Late
P0000421,L001422,2024-11-03,879.39,0,On Time
P0000422,L007757,2024-11-27,1091.29,7,Late
P0000423,L002661,2025-08-29,1313.18,5,Late
P0000424,L001563,2026-02-08,984.83,0,On Time
P0000425,L003870,2025-05-25,718.91,0,On Time
P0000426,L005071,2023-04-02,2154.91,10,Late
P0000427,L004225,2025-03-14,488.12,0,On Time
P0000428,L002159,2026-03-22,370.62,9,Late
P0000429,L000801,2025-05-26,713.0,0,On Time
P0000430,L006228,2025-01-22,676.15,0,On Time
P0000431,L005368,2024-04-10,493.94,0,On Time
P0000432,L006166,2023-07-21,1211.73,1,Late
P0000433,L003425,2024-03-31,606.93,5,Late
P0000434,L006891,2025-07-06,1340.83,9,Late
P0000435,L006517,2024-05-11,292.25,0,On Time
P0000436,L003520,2025-01-13,519.37,5,Late
P0000437,L005337,2025-04-19,1647.69,11,Late
P0000438,L007573,2024-04-24,588.6,7,Late
P0000439,L002339,2026-02-10,519.21,17,Severely Late
P0000440,L006371,2023-03-08,2234.62,10,Late
P0000441,L001306,2025-03-29,2106.11,0,On Time
P0000442,L006050,2025-05-24,403.72,2,Late
P0000443,L002600,2025-10-29,732.31,8,Late
P0000444,L001898,2025-05-23,904.92,19,Severely Late
P0000445,L006333,2023-06-29,1104.16,0,On Time
P0000446,L002944,2025-07-13,344.02,0,On Time
P0000447,L001618,2024-03-06,367.51,9,Late
P0000448,L006706,2023-10-17,1081.35,10,Late
P0000449,L003899,2025-04-02,1574.78,1,Late
P0000450,L000927,2026-05-03,653.59,6,Late
P0000451,L007537,2023-08-12,614.97,0,On Time
P0000452,L005448,2023-09-19,930.21,2,Late
P0000453,L006418,2023-03-21,927.92,12,Late
P0000454,L006202,2023-05-25,971.34,1,Late
P0000455,L000472,2024-09-12,3951.87,0,On Time
P0000456,L002088,2024-03-24,474.22,0,On Time
P0000457,L005631,2023-04-04,479.58,3,Late
P0000458,L004954,2023-03-30,644.28,0,On Time
P0000459,L003802,2023-09-17,885.61,0,On Time
P0000460,L002190,2024-03-01,544.7,7,Late
P0000461,L007766,2024-11-04,618.36,13,Late
P0000462,L007716,2024-05-20,421.23,0,On Time
P0000463,L005838,2025-03-04,464.0,0,On Time
P0000464,L000417,2024-12-15,326.17,0,On Time
P0000465,L005510,2023-03-01,1166.5,0,On Time
P0000466,L001735,2025-03-30,587.88,8,Late
P0000467,L000960,2024-07-17,1412.18,3,Late
P0000468,L002549,2023-07-02,1233.76,0,On Time
P0000469,L007450,2024-11-13,2902.66,8,Late
P0000470,L007016,2023-08-30,787.25,0,On Time
P0000471,L002532,2025-12-09,1003.33,2,Late
P0000472,L003537,2026-05-16,433.84,6,Late
P0000473,L005042,2025-06-17,754.47,11,Late
P0000474,L004141,2023-02-05,1111.02,0,On Time
P0000475,L000157,2025-01-15,360.46,20,Severely Late
P0000476,L002305,2026-02-17,1202.18,1,Late
P0000477,L000169,2023-10-06,946.18,0,On Time
P0000478,L001055,2025-05-24,810.46,0,On Time
P0000479,L007938,2024-01-02,930.63,2,Late
P0000480,L002995,2025-02-24,740.87,10,Late
P0000481,L000048,2023-09-26,1004.57,17,Severely Late
P0000482,L001043,2023-09-23,1603.45,6,Late
P0000483,L005251,2024-10-19,2111.82,5,Late
P0000484,L000308,2026-03-17,603.11,4,Late
P0000485,L001989,2026-02-26,1034.9,11,Late
P0000486,L006305,2025-04-12,458.87,10,Late
P0000487,L001227,2023-05-30,4103.64,0,On Time
P0000488,L000483,2024-01-26,1442.19,0,On Time
P0000489,L006843,2023-09-11,470.59,5,Late
P0000490,L003018,2026-01-12,2239.15,0,On Time
P0000491,L001204,2025-05-07,297.36,0,On Time
P0000492,L006861,2023-12-27,487.0,8,Late
P0000493,L001849,2025-09-26,573.48,8,Late
P0000494,L004112,2024-06-06,732.92,0,On Time
P0000495,L002183,2024-12-26,1259.68,0,On Time
P0000496,L004006,2024-09-04,477.02,0,On Time
P0000497,L003415,2024-07-17,630.66,0,On Time
P0000498,L003813,2024-10-22,768.68,5,Late
P0000499,L001249,2023-12-17,1299.51,10,Late
P0000500,L003827,2025-11-04,679.39,13,Late
P0000501,L006245,2023-05-09,1010.13,0,On Time
P0000502,L006823,2024-02-28,1111.57,12,Late
P0000503,L002066,2024-10-13,1160.01,0,On Time
P0000504,L004410,2026-04-05,155.45,1,Late
P0000505,L000551,2023-10-02,1016.4,14,Late
P0000506,L006423,2023-04-05,270.27,4,Late
P0000507,L005484,2025-01-24,839.37,1,Late
P0000508,L003819,2025-04-28,752.1,2,Late
P0000509,L006479,2024-11-18,1293.82,0,On Time
P0000510,L001126,2024-11-17,244.0,9,Late
P0000511,L007962,2024-05-08,411.55,0,On Time
P0000512,L000905,2025-07-28,641.58,7,Late
P0000513,L004589,2025-01-09,660.04,0,On Time
P0000514,L005940,2026-04-11,1008.47,24,Severely Late
P0000515,L006466,2026-07-19,392.69,13,Late
P0000516,L004376,2025-08-02,986.15,7,Late
P0000517,L005323,2025-12-24,780.26,5,Late
P0000518,L002344,2023-08-22,2132.21,0,On Time
P0000519,L003263,2025-04-12,421.45,12,Late
P0000520,L005890,2025-10-28,1501.22,8,Late
P0000521,L002220,2023-08-27,730.06,0,On Time
P0000522,L001552,2023-07-18,554.83,7,Late
P0000523,L007683,2024-10-03,2285.53,8,Late
P0000524,L007068,2023-07-02,640.97,6,Late
P0000525,L003056,2024-02-02,1099.52,0,On Time
P0000526,L005747,2026-06-02,737.73,0,On Time
P0000527,L002582,2025-02-07,732.89,12,Late
P0000528,L002958,2025-08-08,1254.75,0,On Time
P0000529,L000607,2026-07-24,1377.28,1,Late
P0000530,L004276,2024-06-02,520.29,0,On Time
P0000531,L004175,2025-07-26,545.65,8,Late
P0000532,L007633,2025-06-13,92.26,0,On Time
P0000533,L007267,2023-10-19,682.3,0,On Time
